AccountZAnnualRevenue,AccountZBillingCountry,AccountZBillingState,AccountZIndustry,AccountZIsPersonAccount,AccountZName,AccountZType,AccountId,AmountPaid,ApplicationCaseId,ApplicationCategory,ApplicationSourceFlag,ApplicationType,AppliedDate,BusinessLicenseZAccountId,BusinessLicenseZBusinessTypeZName,BusinessLicenseZBusinessTypeId,BusinessLicenseZIdentifier,BusinessLicenseZIssuer,BusinessLicenseZName,BusinessLicenseZPeriodEnd,BusinessLicenseZPeriodStart,BusinessLicenseZRegAuthTypeZName,BusinessLicenseZRegAuthTypeZRegulatoryAuthorityZName,BusinessLicenseZRegulatoryAuthorizationTypeId,BusinessLicenseZStatus,BusinessTypeZAuthorizationActivityType,BusinessTypeZIndustry,BusinessTypeZName,BusinessTypeId,CaseZAccountZIndustry,CaseZAccountZName,CaseZAccountZType,CaseZAccountId,CaseZCreatedDate,CaseZReason,CaseZStatus,CaseZSuppliedName,CaseZType,Category,CreatedDate,Id,LicensePermitNameId,LicenseTypeId,Name,RegAuthTypeZDurationType,RegAuthTypeZIssuingDepartmentId,RegAuthTypeZName,RegAuthTypeZProcessingDuration,RegAuthTypeZRegulatoryAuthCategory,RegAuthTypeZRegulatoryAuthCode,RegAuthTypeZRegulatoryAuthorityZName,Status,WasReturned
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-06-18T04:33:30.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaCkIAK,,0ehHr000000CdF6IAK,BLA-0000000231,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2016-10-16T21:08:13.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaH6IAK,,0ehHr000000CdF6IAK,BLA-0000000501,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2021-10-22T17:55:25.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaCHIA0,,0ehHr000000CdFEIA0,BLA-0000000202,Hour,19pHr000000CeuSIAS,Food Establishment,,Permit,,Board of Nursing,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-10-03T23:03:49.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:00.000Z,0f0Hr000000XaCGIA0,,0ehHr000000CdF6IAK,BLA-0000000201,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Phase,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2025-02-26T17:29:30.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaEwIAK,,0ehHr000000CdFrIAK,BLA-0000000367,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-11-08T00:50:51.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaGTIA0,,0ehHr000000CdF6IAK,BLA-0000000462,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2025-01-27T11:13:34.000Z,,,,,,,,,,,,,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,,,,,,,,,License,2023-12-18T19:32:00.000Z,0f0Hr000000XaBAIA0,,0ehHr000000CdFRIA0,BLA-0000000133,Hour,19pHr000000CeuGIAS,Home Health Agency (HHA) License,,License,,Department of Public Health,Violations Observed,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2023-12-19T07:36:18.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:00.000Z,0f0Hr000000XaDXIA0,,0ehHr000000CdF7IAK,BLA-0000000280,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,Application Accepted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-05-01T21:19:17.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaGeIAK,,0ehHr000000CdFrIAK,BLA-0000000473,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2025-09-21T15:28:38.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:00.000Z,0f0Hr000000XaDEIA0,,0ehHr000000CdF6IAK,BLA-0000000261,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-01-14T11:44:01.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaErIAK,,0ehHr000000CdFEIA0,BLA-0000000362,Hour,19pHr000000CeuSIAS,Food Establishment,,Permit,,Board of Nursing,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2025-05-06T04:17:13.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:10.000Z,0f0Hr000000XaI0IAK,,0ehHr000000CdFRIA0,BLA-0000000557,Hour,19pHr000000CeuGIAS,Home Health Agency (HHA) License,,License,,Department of Public Health,Inspection Completed,false
,,,,,,,001Hr00001s8sy2IAA,,500Hr00001aqHxnIAE,Basic,Business License Application,,2021-05-27T12:44:00.000Z,001Hr00001s8sy2IAA,,,,,Fashion Cuts & Perms Salon Establishment License 2022-02-07 20:42:41Z,,2022-02-07T20:42:41.000Z,Salon Establishment License,Board of Barbering & Cosmetology,0ehHr000000CdF6IAK,Verified,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,,,001Hr00001s8ss7IAA,2023-11-07T15:01:48.000Z,,New,,Establishment License,License,2023-11-07T15:01:48.000Z,0f0Hr000000XZuBIAW,0cEHr000000L4rkMAC,0ehHr000000CdF6IAK,BLA-0000000071,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Phase,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2023-03-01T03:27:00.000Z,,,,,,,,,,,,,Business,Food and Beverages,Restaurant,2gFHr000000XaQsMAK,,,,,,,,,,License,2023-12-18T19:32:00.000Z,0f0Hr000000XaB5IAK,,0ehHr000000CdFrIAK,BLA-0000000128,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-10-01T01:11:11.000Z,,,,,,,,,,,,,Business,Retail,Beauty Salon,2gFHr000000XaQpMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaBIIA0,,0ehHr000000CdFrIAK,BLA-0000000141,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2019-01-08T09:26:43.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaElIAK,,0ehHr000000CdF7IAK,BLA-0000000356,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-04-21T09:14:57.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:10.000Z,0f0Hr000000XaHrIAK,,0ehHr000000CdFRIA0,BLA-0000000548,Hour,19pHr000000CeuGIAS,Home Health Agency (HHA) License,,License,,Department of Public Health,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-12-14T22:45:25.000Z,,,,,,,,,,,,,Occupation,,Government,2gFHr000000XaQrMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaBnIAK,,0ehHr000000CdF6IAK,BLA-0000000172,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-05-28T00:10:52.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaHFIA0,,0ehHr000000CdF6IAK,BLA-0000000510,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Phase,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-01-08T14:52:53.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:10.000Z,0f0Hr000000XaHyIAK,,0ehHr000000CdFrIAK,BLA-0000000555,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Application Accepted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2023-04-03T02:18:12.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaFDIA0,,0ehHr000000CdFRIA0,BLA-0000000384,Hour,19pHr000000CeuGIAS,Home Health Agency (HHA) License,,License,,Department of Public Health,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2025-01-28T15:54:04.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:10.000Z,0f0Hr000000XaHXIA0,,0ehHr000000CdF7IAK,BLA-0000000528,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,License Issued,false
,United States,Oregon,Government,false,Housing Administration,Partner,001Hr00001s8t0UIAQ,,500Hr00001aqHygIAE,Basic,Business License Application,,2022-03-02T17:00:00.000Z,,,,,,,,,,,,,Occupation,,Government,2gFHr000000XaQrMAK,,,,001Hr00001s8ss7IAA,2023-11-07T15:01:48.000Z,,New,,Establishment License,Permit,2023-11-07T15:01:48.000Z,0f0Hr000000XZtxIAG,,0ehHr000000CdF7IAK,BLA-0000000036,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,Submitted,false
,United States,Wisconsin,Technology,false,Bae Systems,Partner,001Hr00001s8stJIAQ,,500Hr00001aqHygIAE,Basic,Business License Application,,2021-09-13T16:00:00.000Z,,,,,,,,,,,,,Business,,Contractor,2gFHr000000XaQvMAK,,,,001Hr00001s8ss7IAA,2023-11-07T15:01:48.000Z,,New,,Establishment License,Permit,2023-11-07T15:01:48.000Z,0f0Hr000000XZtzIAG,,0ehHr000000CdF7IAK,BLA-0000000037,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2023-09-10T18:30:27.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaF1IAK,,0ehHr000000CdF7IAK,BLA-0000000372,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-11-05T19:11:13.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaF4IAK,,0ehHr000000CdFEIA0,BLA-0000000375,Hour,19pHr000000CeuSIAS,Food Establishment,,Permit,,Board of Nursing,Inspection Phase,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2023-07-24T12:19:49.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaFlIAK,,0ehHr000000CdFEIA0,BLA-0000000418,Hour,19pHr000000CeuSIAS,Food Establishment,,Permit,,Board of Nursing,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2023-05-05T16:33:44.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaE0IAK,,0ehHr000000CdF6IAK,BLA-0000000309,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2025-07-31T09:48:05.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaFeIAK,,0ehHr000000CdFrIAK,BLA-0000000411,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Application Accepted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-12-09T17:43:22.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaGJIA0,,0ehHr000000CdF7IAK,BLA-0000000452,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2022-12-03T15:46:58.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaCXIA0,,0ehHr000000CdF7IAK,BLA-0000000218,Day,19pHr000000CeuKIAS,Building Permit,30,Permit,,Department of Buildings,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2020-07-22T07:59:48.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaFXIA0,,0ehHr000000CdFEIA0,BLA-0000000404,Hour,19pHr000000CeuSIAS,Food Establishment,,Permit,,Board of Nursing,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-12-03T23:43:01.000Z,,,,,,,,,,,,,Business,Retail,Retail,2gFHr000000XaQoMAK,,,,,,,,,,License,2023-12-18T19:32:00.000Z,0f0Hr000000XaCUIA0,,0ehHr000000CdFrIAK,BLA-0000000215,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Inspection Completed,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-09-05T06:41:45.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaC0IAK,,0ehHr000000CdFrIAK,BLA-0000000185,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-11-01T15:02:58.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaDyIAK,,0ehHr000000CdF6IAK,BLA-0000000307,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,Inspection Phase,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-09-29T06:13:04.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaEQIA0,,0ehHr000000CdFrIAK,BLA-0000000335,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Inspection Completed,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-06-02T13:46:51.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaBOIA0,,0ehHr000000CdFrIAK,BLA-0000000147,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-12-29T17:46:27.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaC3IAK,,0ehHr000000CdFrIAK,BLA-0000000188,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-02-26T22:44:38.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaDTIA0,,0ehHr000000CdFrIAK,BLA-0000000276,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Submitted,false
,,,,,,,001Hr00001s8t8gIAA,,500Hr00001aqHygIAE,Basic,Business License Application,,2022-03-12T17:00:00.000Z,001Hr00001s8t8iIAA,Restaurant,2gFHr000000XaQsMAK,,,Starbucks Petroleum Tank Permit,,2022-03-21T19:00:00.000Z,Petroleum Tank Permit,Department of Building Inspection,0ehHr000000CdF9IAK,Verified,Business,Food and Beverages,Restaurant,2gFHr000000XaQsMAK,,,,001Hr00001s8ss7IAA,2023-11-07T15:01:48.000Z,,New,,Establishment License,Permit,2023-11-07T15:01:48.000Z,0f0Hr000000XZu3IAG,0cEHr000000L4raMAC,0ehHr000000CdF9IAK,BLA-0000000051,Hour,19pHr000000CeuHIAS,Petroleum Tank Permit,,Permit,,Department of Building Inspection,License Issued,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-09-21T13:55:30.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:05.000Z,0f0Hr000000XaFkIAK,,0ehHr000000CdFrIAK,BLA-0000000417,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-07-31T22:26:38.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,License,2023-12-18T19:32:05.000Z,0f0Hr000000XaFwIAK,,0ehHr000000CdF6IAK,BLA-0000000429,Hour,19pHr000000CeuLIAS,Salon Establishment License,,License,,Board of Barbering & Cosmetology,In Review,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-04-16T07:27:02.000Z,,,,,,,,,,,,,Business,Retail,Retail,2gFHr000000XaQoMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaBvIAK,,0ehHr000000CdFrIAK,BLA-0000000180,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Submitted,false
,,OH,Communications,false,Apex Innovations,,001Hr00001s8ssjIAA,,,,Business License Application,,2024-02-14T06:36:00.000Z,,,,,,,,,,,,,Business,Healthcare,Healthcare Facility,2gFHr000000XaQtMAK,,,,,,,,,,Permit,2023-12-18T19:32:00.000Z,0f0Hr000000XaCKIA0,,0ehHr000000CdFrIAK,BLA-0000000205,Hour,19pHr000000CeuGIAS,Intermediate Care Facility (ICF) License,,License,,Department of Public Health,Submitted,false
